price_id,item_id,ts,price,qty,size,source_file,raw_product_line,brand_name,attributes
198,63,2025-11-04,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
297,63,2025-06-19,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
350,63,2025-04-09,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
331,63,2025-04-28,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
292,63,2025-07-03,10.38,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
218,63,2025-10-14,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
266,138,2025-07-17,12.99,1,,Store 1.txt,Organic Seedless Watermelon,Store brand,
344,170,2025-04-09,8.97,3,,Store 1.txt,Organic Tommy Atkins Mango,Store brand,
342,169,2025-04-09,6.99,1,"1/2 gallon, Carton",Store 1.txt,"Organic Valley Family First Whole Milk with DHA Omega-3, Carton",Organic Valley,
380,189,2025-01-24,6.98,2,,Store 1.txt,Plum Tomatoes,,
339,167,2025-04-21,5.29,1,"4oz, paperboard box with protective polymer varnish finish + inner plastic wrap",Store 1.txt,"Rustic Bakery Shortbread Cookies, Vanilla",Rustic Bakery ,
405,201,2026-01-10,3.99,1,"12oz, plastic freezer bag (multi-layer plastic)",Store 1.txt,Seapoint Farms Edamame Organic Shelled Soybeans,Seapoint Farms,frozen
361,177,2025-01-31,7.99,1,"4oz, paperboard box with glossy polymer coating + plastic tube",Store 1.txt,"Sensodyne Pronamel Gentle Whitening Toothpaste, Alpine Breeze",Sensodyne,
362,178,2025-01-31,7.99,1,"4oz, paperboard box with glossy polymer coating + plastic tube",Store 1.txt,Sensodyne Repair & Protect Whitening Toothpaste,Sensodyne,
247,46,2025-09-11,4.99,1,,Store 1.txt,Shallots,Store brand,
310,46,2025-06-05,4.99,1,,Store 1.txt,Shallots,Store brand,
256,46,2025-08-11,9.98,2,,Store 1.txt,Shallots,Store brand,
278,46,2025-07-17,5.19,1,,Store 1.txt,Shallots,Store brand,
264,46,2025-07-30,9.98,2,,Store 1.txt,Shallots,Store brand,
298,46,2025-06-19,9.98,2,,Store 1.txt,Shallots,Store brand,
381,46,2025-01-24,4.99,1,,Store 1.txt,Shallots,Store brand,
327,163,2025-04-28,7.39,1,,Store 1.txt,Simply Organic Crushed Red Pepper,Simply Organic ,
313,159,2025-05-21,13.69,1,,Store 1.txt,"Spectrum Organic Virgin Coconut Oil, Unrefined (for Medium Heat)",Spectrum,
248,106,2025-09-11,3.98,2,approx. 2oz Packaged,Store 1.txt,"Thai Peppers, Packaged",Store brand,
325,106,2025-05-13,3.98,2,approx. 2oz Packaged,Store 1.txt,"Thai Peppers, Packaged",Store brand,
311,106,2025-06-05,3.98,2,approx. 2oz Packaged,Store 1.txt,"Thai Peppers, Packaged",Store brand,
257,106,2025-08-11,3.98,2,approx. 2oz Packaged,Store 1.txt,"Thai Peppers, Packaged",Store brand,
316,106,2025-05-21,1.99,1,approx. 2oz Packaged,Store 1.txt,"Thai Peppers, Packaged",Store brand,
